average_rate_per_night,bedrooms_count,city,date_of_listing,description,title,url
$27.00,2,Humble,May 2016,Welcome to stay in private room with queen bed and detached private bathroom on the second floor. Another private bedroom with sofa bed is available for additional guests. 10$ for an additional guest.\n10min from IAH airport\nAirport pick-up/drop off is available for $10/trip.,2 Private rooms/bathroom 10min from IAH airport,https://www.airbnb.com/rooms/18520444?location=Cleveland%2C%20TX
$149.00,4,San Antonio,November 2010,"Stylish, fully remodeled home in upscale NW – Alamo Heights Area. \n\nAmazing location - House conveniently located in quiet street, with beautiful seasoned trees, prestigious neighborhood and very close to the airport, 281, 410 loop and down-town area. \n\nFeaturing an open floor plan, original hardwood floors, 3 bedrooms, 3 FULL bathrooms + an independent garden-TV room which can sleep 2 more\n\nEuropean inspired kitchen and “top of the line” decor. Driveway can park 4 cars.",Unique Location! Alamo Heights - Designer Inspired,https://www.airbnb.com/rooms/17481455?location=Cibolo%2C%20TX
$59.00,1,Houston,January 2017,'River house on island close to the city' \nA well maintained river house off the San Jacinto river with extra room for temporary visitors.,River house near the city,https://www.airbnb.com/rooms/16926307?location=Beach%20City%2C%20TX
$60.00,1,Bryan,February 2016,Private bedroom in a cute little home situated in the coveted Garden Acres neighborhood in Bryan. The bedroom has its own private access and its own private bathroom.,Private Room Close to Campus,https://www.airbnb.com/rooms/11839729?location=College%20Station%2C%20TX
$75.00,2,Fort Worth,February 2017,Welcome to our original 1920's home. We recently purchased this 1922 home just a mile outside of downtown Fort Worth and have been happy restoring the original character that the home was built with. You're just a 5 minute drive from all that downtown has to offer and just across the street from the currently being rejuvenated Gateway Park.,The Porch,https://www.airbnb.com/rooms/17325114?location=Colleyville%2C%20TX
$250.00,4,Conroe,August 2016,"My place is close to Lake Conroe, family-friendly activities, nightlife. You’ll love my place because of the outdoors space and the neighborhood. My place is good for couples, solo adventurers, business travelers, families (with kids), and big groups.",Gorgeous Home with Country Setting,https://www.airbnb.com/rooms/14466133?location=Cleveland%2C%20TX
$129.00,3,Cedar Creek,March 2016,"Rustic country retreat on 8 acres southeast of Austin. Converted modular home with all the amenities needed while offering a Texas experiences. Less than 15 miles to Austin airport, Circuit of the Americas (COTA) or Formula One. Trailer parking avail",Cozy and Quaint Country Retreat with Acreage.,https://www.airbnb.com/rooms/12491762?location=Cedar%20Creek%2C%20TX
$25.00,1,Fort Worth,January 2016,"This is a beautiful bedroom with a queen size bed and closet. We do not have pets and the house is always clean. The bathroom is shared and supplies such as towels and shampoo are available. We are only some miles from Downtown, TCU, TCC, and Stockyards.",Friendly Private Room in َQuiet Neighborhood,https://www.airbnb.com/rooms/18977363?location=Cleburne%2C%20TX
$345.00,3,Rockport,February 2016,First class and comfortable condo with the bests views from bottom deck and master bedroom patio.\r\nPier is just a few steps away from your patio.,608 - Bayfront Condos,https://www.airbnb.com/rooms/17559848?location=Bayside%2C%20TX
$72.00,Studio,San Antonio,August 2013,Private entrance to your own \,Cozy Historic Private Studio,https://www.airbnb.com/rooms/1588127?location=Colorado%20River%2C%20TX
$65.00,1,Irving,July 2015,My cool and comfortable bedroom apartment feels like home. It comfortably fits 2 people and centrally located on a quiet street. Enjoy a gourmet kitchen and easy access to all major highways.,Cozy 1 bedroom/bathroom with pool,https://www.airbnb.com/rooms/7276294?location=Colleyville%2C%20TX
$116.00,1,Euless,September 2014,"Gated Estate in the heart of the DFW metro. Sets on 2.5 wooded acres. Home overlooks a beautiful pond. 8 -10 mins to DFW Airport and 25-35 mins to Love Field Airport. Located minutes away from Dallas &amp; Fort Worth, American Airlines Center, Dallas museums, Deep Elum,\nAT&amp;T Stadium, Global Life Park, Six Flags, Fort Worth Stock Yards, Texas Motor Speed Way, Grapevine Mills Mall, Gaylord Texan, Great Wolf Lodge, Check out our other listing we have at our home - FABEULESS HIDEAWAY",Quiet Cozy Room,https://www.airbnb.com/rooms/4251773?location=Colleyville%2C%20TX
$160.00,2,Round Mountain,August 2012,"Our place combines the convenience for visiting the Austin area, while also being far from the maddening crowd. It's very peaceful and quiet here, with views to die for. Nature in spades is what we have to offer. Humming birds galore! Come see.",Cypress Creek Retreat Hamilton Pool,https://www.airbnb.com/rooms/658762?location=Colorado%20River%2C%20TX
$110.00,1,San Antonio,June 2017,"This home is on the North Side of San Antonio, 3 minutes away from a great golfing course and a JW Marriott Resort and Spa. This is a great stopping place for a family and comes with all amenities from cable, internet to a laundry room and 2 bathrooms. This house is against a green belt so you can enjoy the back yard and nature.This area is safe and my neighbors are also great! Hope you enjoy your stay and more so enjoy San Antonio!",A Cozy Home with a Beautiful Nature Views,https://www.airbnb.com/rooms/19190311?location=Cibolo%2C%20TX
$175.00,2,Kerrville,August 2016,"My place is close to downtown Kerrville. Beautiful pine ceilings and cozy fireplace. Cottage appeal in a unique and eclectic Kerrville neighborhood!\nComes with screened porch and huge backyard. Washer dryer available also for guest's convenience. Great place to use as a home base for exploring Texas wine country nearby. I have a covered carport with 2 parking spaces included in the rental price-which is great to have if we get rain or bad weather, your car is protexted.","Cozy cottage charm,right in Kerrville!",https://www.airbnb.com/rooms/14694333?location=Center%20Point%2C%20TX
$88.00,2,New Braunfels,April 2017,This is new house with a hint of Texas Country Chic.,2 bedrooms 1.5 bath in a great location.,https://www.airbnb.com/rooms/18683743?location=Canyon%20Lake%2C%20TX
